Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
"ASOCARSA, SA",1011,U1,2022,3059.52532636645,27,SALAMANCA,6555.44343375689,411.719412377965,6967.16284613485,5131.9063627569,1240.45060780068,3059.52532636645,36.2032344521225,36.2032344521225,0.941,0.52,1.579
ALIMENTARIA CARNICA MALLOLES SL.,1013,U1,2006,3058.03875597046,19,VIC,1126.02399728537,2835.84947087742,3961.87346816279,1645.55075845097,1015.33607146166,3058.03875597046,1418.25488821916,1418.25488821916,118.216,35.798,63.613
MAS MORET 2020 SL,1091,U1,2022,3050.28162056947,4,GUALTA,1011.80680063924,1608.93438598658,2620.74118662582,2296.14926796713,2.77370263521075,3050.28162056947,-25.0238212398708,-25.0238212398708,-1.442,-0.955,-1.086
CAFES ORUS SA,1083,U1,2022,3046.7325001063,19,ZARAGOZA,1337.38799032329,1303.05445144411,2640.44244176739,2095.70592463544,17.0809721767545,3046.7325001063,135.886470697302,135.886470697302,8.716,5.146,5.995
MATARIFES DE COLMENAR VIEJO SLL,1013,U1,2018,3045.03761761353,69,COLMENAR VIEJO,20.6520777067113,571.511775138363,592.163852845074,221.391895710763,88.5971905446792,3045.03761761353,105.439484931617,105.439484931617,61.029,17.806,4.437
CORPORATION ENTERPRISE LABODIET S.A.,1086,U1,2003,3044.1543979019,61,BENAMOCARRA,5881.58549571824,3094.25829394676,8975.84378966499,2103.47893247911,1842.26997124656,3044.1543979019,1.4227238343215,-1.1964838808012,0.105,-0.013,0.073
PIENSOS SALPAS S.L.,1091,U1,2022,3043.56642751734,1,MORELLA,259.530171156538,710.064141515744,969.594312672281,359.537824302065,0.0,3043.56642751734,51.9928106324732,51.9928106324732,19.023,5.362,2.247
SANT ANTONI PASTISSERS SL,1071,U1,2022,3043.38004992276,53,CASSA DE LA SELVA,291.823177222741,327.103792451525,618.926969674265,68.4410973247826,205.18506068067,3043.38004992276,-42.7653811436832,-42.7653811436832,-83.313,-6.91,-1.874
CONGELATS CAMOS SL,1089,U1,2022,3035.1771852364,18,ONTINYENT,579.824515159154,954.659861299652,1534.48437645881,463.420625376344,528.611815392393,3035.1771852364,347.808077751857,347.808077751857,99.376,22.666,15.173
TASTING PRODUCCION SL.,1089,U1,2021,3033.71795599037,10,PALMA,1402.85741740472,726.413990408063,2129.27140781279,339.505901030946,259.83730037148,3033.71795599037,281.931635648782,281.931635648782,110.638,13.241,12.382
ELABORADOS PUERTA DE VALENCIA SL,1020,U1,2022,3032.67085776091,17,ALMANSA,1075.3980807569,1391.66280122688,2467.06088198379,1303.92910568846,431.457102558059,3032.67085776091,220.329216178685,220.329216178685,22.395,8.931,9.629
HORCHATAS MERCADER SOCIEDAD LIMITADA.,1052,U1,2020,3028.14874673596,12,PATERNA,834.073701800978,612.334281485295,1446.40798328627,693.007961567497,665.514433633959,3028.14874673596,10.7323319556528,10.7323319556528,2.065,0.742,0.473
GOFIO LA PINA SL,1061,U1,2022,3027.15644134606,13,LAS PALMAS DE GRAN CANARIA,4973.7600460676,1319.14155555171,6292.90160161931,5096.67003273886,314.91089640553,3027.15644134606,0.638412057097554,0.638412057097554,-0.282,0.01,-0.475
DISPRAVIA SL,1072,U1,2022,3024.76791018465,25,VILALBA,979.592840261108,967.201172734481,1946.79401299559,620.7078921718,284.842251574105,3024.76791018465,75.6445582906484,75.6445582906484,16.303,3.886,3.346
PRAXIS & EXPER SL,1089,U1,2022,3024.44466654373,12,MARCHENA,2885.89967528996,2349.1175051636,5235.01718045356,664.716373687059,1996.17906254123,3024.44466654373,11.9464155702531,11.9464155702531,2.3,0.228,0.505
ANXOVES EL XILLU SL,1020,U1,2022,3022.52552235192,22,L'ESCALA,232.608709437132,1275.1852840814,1507.79399351853,534.916559629452,640.774020332313,3022.52552235192,28.6343991655588,28.6343991655588,7.006,1.899,1.24
S.C. AGRARIA DE CASTILLA LA MANCHA EL ROBLEDO,1091,U1,2020,3021.70258673627,2,EL ROBLEDO,263.061547468269,957.449860766703,1220.51140823497,750.877596398866,0.0,3021.70258673627,36.3843409266412,36.3843409266412,5.408,2.981,1.344
LA HARINERA SEGORBINA SL,1061,U1,2022,3021.23439407198,14,SEGORBE,482.395270282537,1179.2577046243,1661.65297490684,616.897774813849,186.232142406052,3021.23439407198,97.0122578066826,97.0122578066826,21.04,5.838,4.296
PRECUINATS EL SALT DEL SALLENT SL,1089,U1,2022,3020.25252524707,20,OLOT,846.504614653242,1041.27061956485,1887.77523421809,1159.99887495046,296.490936563206,3020.25252524707,30.8029559151113,30.8029559151113,3.359,1.632,1.29
EL QUIJERO S.L.,1039,U1,2005,3017.88063178766,30,LORQUI,661.389423522949,1194.71250672269,1856.10193024564,72.145996691227,313.17138396287,3017.88063178766,26.1434271808863,26.1434271808863,66.28,1.409,1.584
HIELOS ALTO TURIA SL,1052,U1,2022,3017.46218365985,26,TUEJAR,1805.557852575,1171.2552219838,2976.8130745588,742.539440100485,1247.24608379629,3017.46218365985,107.272623837282,107.272623837282,18.958,3.604,4.665
PANGRUSA SL.,1071,U1,2021,3017.30815298223,7,ARGANDA DEL REY,1781.80192219598,1353.50763222184,3135.30955441782,2656.42146506109,123.197771646237,3017.30815298223,-198.98372784369,-198.98372784369,-7.491,-6.347,-6.595
PANADERIA EL GRANERO DE BOCEGUILLAS SOCIEDAD LIMITADA,1071,U1,2021,3015.87597989345,49,BOCEGUILLAS,894.2008317348,881.585080060029,1775.78591179483,1481.97063617742,0.11326003074646,3015.87597989345,24.7477244542122,24.7477244542122,1.67,1.394,0.821
PRARIBE SL,1091,U1,2021,3015.79233622814,14,JEREZ DE LA FRONTERA,1906.87243712461,2602.2924350348,4509.16487215941,3338.53953672624,472.475793434,3015.79233622814,9.41408314762116,9.41408314762116,0.778,0.209,0.861
QUESERIA MONTESDEOCA SL.,1051,U1,2022,3015.29512014958,7,GUIA DE ISORA,621.105691116941,544.437954603201,1165.54364572014,283.172031437457,406.768225555486,3015.29512014958,27.3186953668177,27.3186953668177,14.197,2.344,1.333
FORTADUL SL,1082,U1,2022,3010.57419792244,15,ESTEPA,1303.32090048819,1866.36889452849,3169.68979501668,2521.56771603956,26.8581220659041,3010.57419792244,105.898845696751,105.898845696751,5.66,3.341,4.741
JAMONES EL FERIAL SOCIEDAD LIMITADA.,1013,U1,2022,3009.69681675158,39,CEDRILLAS,4426.11120036495,1119.55076652297,5545.66196688792,1249.80834374895,1942.42584011939,3009.69681675158,6.41093488211036,6.41093488211036,1.63,0.116,0.677
CONSERVAS AUSA SA,1013,U1,2021,3009.01765464363,18,PRATS DE LLUCANES,797.513642943335,2626.15914368784,3423.67278663118,653.099436037516,0.0,3009.01765464363,-381.752492777538,-381.752492777538,-77.94,-11.15,-16.917
INDUSTRIAS CARNICAS CRIADO BARCENAS SOCIEDAD LIMITADA.,1013,U1,2022,3008.81062190076,23,ANDUJAR,470.545520623904,565.87790450197,1036.42342619247,200.077403713262,340.827866724879,3008.81062190076,47.9799433777988,47.9799433777988,30.717,4.629,2.043
PRODUCTOS HILLBO SL,1082,U1,2021,3006.45661882839,23,SANTA MARGARIDA I ELS MONJOS,1886.31059953873,1539.12264438036,3425.43324391909,2150.47050296166,862.524843961787,3006.45661882839,94.7125001554012,94.7125001554012,4.946,2.765,3.538
PATRIHER SL,1071,U1,2022,3005.81224008335,51,SAN PEDRO DEL PINATAR,2680.35143748354,471.4488450625,3151.80028254604,1025.63803616318,1423.7279816424,3005.81224008335,78.9308153099418,78.9308153099418,8.086,2.504,2.759
RUPP CHEESE ESPANA S.L.,1051,U1,2022,3001.34506544265,6,SANTA EULALIA DE RONCANA,704.725011127395,526.092518067122,1230.81752919452,197.92785376659,468.43714141748,3001.34506544265,146.507657735383,146.507657735383,74.021,11.903,4.881
GENERAL DE ALIMENTACION ALMIX SL,1083,U1,2021,2999.93043994474,16,MALAGA,677.477060689259,1172.44289842858,1849.91995911784,827.969910793233,540.261717967701,2999.93043994474,170.232782298732,170.232782298732,27.527,9.202,7.597
CAJI FRUIT SOCIEDAD LIMITADA.,1039,U1,2021,2990.89916437504,25,VILLANUEVA DEL RIO Y MINAS,1044.5431139539,983.426540308714,2027.96965426261,943.628098104715,720.196581020236,2990.89916437504,327.986619713831,327.986619713831,42.257,16.173,13.332
PANIFICADORA ARTESANAL HERMANOS NAVARRO SOCIEDAD LIMITADA.,1071,U1,2022,2988.99103821196,27,ALBACETE,381.70808660304,856.071894736976,1237.77998134002,396.227033479023,137.298381769884,2988.99103821196,44.3270321184218,44.3270321184218,15.681,3.581,2.079
CARNES COPADO SL,1089,U1,2022,2987.54696916481,14,TOLEDO,312.047983389121,770.700855722976,1082.7488391121,576.244239324927,4.7403094376564,2987.54696916481,36.2258570272684,36.2258570272684,8.382,3.346,1.617
AFRODISIO DE LA CRUZ SA,1091,U1,1997,2984.1932811892,8,CONSUEGRA,436.332987218857,475.682734761715,912.016860375166,436.882831807852,219.913929311514,2984.1932811892,41.4136569421291,40.1819139912128,14.432,4.406,2.113
PASTISSERIA BOSSER ARMENGOL SL,1071,U1,2022,2983.77055635068,34,SABADELL,793.38842944175,839.034695803219,1632.42312524497,825.241313895118,337.975673033327,2983.77055635068,12.0018787436426,12.0018787436426,2.066,0.735,0.571
COCEDERO BARRANAMAR SL,1020,U1,2022,2983.48325711253,16,BOIRO,4983.36475312738,2304.89323990588,7288.25799303325,2846.15523454286,1927.30104340208,2983.48325711253,-56.1728876223224,-56.1728876223224,-2.632,-0.771,-2.51
DOJU ALIMENTACION SL,1020,U1,1999,2979.96940169394,6,BURGOS,6.72580450475216,783.65517801404,790.380982518792,151.503895050287,0.0,2979.96940169394,17.7784260374308,17.7784260374308,17.45,2.249,0.887
ROFRASAN SL,1039,U1,2021,2978.99525381601,56,ROQUETAS DE MAR,4451.8404752268,1031.64195566032,5483.48243088712,2284.54144945007,1318.59408738799,2978.99525381601,49.9983337175822,49.9983337175822,2.946,0.912,2.259
INDUSTRIAS CARNICAS D'FIALLO S.L.,1013,U1,2022,2977.06627461132,16,DON BENITO,485.94180957495,1577.61868369948,2063.56049327443,292.913401889664,632.588359895694,2977.06627461132,101.910061324775,101.910061324775,44.629,4.939,4.391
GLOBALINNOVA EUROPA SL.,1020,U1,2022,2974.37187364806,34,LLAGOSTERA,1038.20735650057,531.917111212552,1570.12446771312,277.462780360687,336.192137367046,2974.37187364806,2.25709517307281,2.25709517307281,1.109,0.144,0.103
AGRICOLA PINOS CLAROS SOCIEDAD LIMITADA,1041,U1,2022,2973.59104816069,18,JAEN,18087.4705330726,3296.38326150486,21383.8537945775,19941.0651681122,103.278817782062,2973.59104816069,814.846224616557,814.846224616557,5.449,3.811,36.543
1957 BIZKARRA SOCIEDAD LIMITADA.,1071,U1,2022,2966.6446163395,44,GALDAKAO,399.832150415331,1257.58592322136,1657.41807363669,989.890047704631,119.10958603465,2966.6446163395,-355.602562826157,-355.602562826157,-44.904,-21.455,-14.983
SOCIEDAD COOPERATIVA ANDALUZA SAN ROQUE.,1041,U1,2020,2966.59915277163,8,EL PINAR,1358.23041919415,281.626418666309,1639.85683786046,1064.22978394046,379.253444978595,2966.59915277163,2.0068092381829,2.0068092381829,0.217,0.122,0.078
J. ROURA BAGUE SOCIEDAD LIMITADA.,1011,U1,2022,2963.72136579005,17,CORCA,727.95617727536,1936.62060575467,2664.57678303003,969.870625935709,1221.50156128221,2963.72136579005,117.240369364877,117.240369364877,16.041,4.4,5.25
GLOWER LAB S.A.,1089,U1,2021,2961.47861420231,22,SANT BOI DE LLOBREGAT,1764.55614576831,2254.74092650373,4019.29707227204,545.375940678048,2732.64419724112,2961.47861420231,12.4541409368992,12.4541409368992,3.057,0.31,0.563
PREPARADOS CARNICOS DADYMA SL,1013,U1,2022,2960.68925809681,19,TORRENT,1350.61870900335,828.616482647753,2179.2351916511,883.019733461726,482.561798460638,2960.68925809681,2.00049266818762,2.00049266818762,0.302,0.092,0.09
MAGNOLIA PREMIUM SL,1052,U1,2022,2957.97493305511,7,CIEZA,2182.77807250727,894.651587510902,3077.42966001817,1378.72451212852,155.856199596065,2957.97493305511,-525.558013065571,-525.558013065571,-50.826,-17.078,-23.69
PRODUCTOS RUCA SL,1084,U1,2021,2953.29463692262,22,PELIGROS,1984.92611963568,2223.37334579444,4208.29946543012,2910.19964826372,446.506208442092,2953.29463692262,186.659564118075,186.659564118075,8.473,4.436,8.349
VIARCIN PLATEA SL.,1013,U1,2022,2950.72549098531,30,TERUEL,3110.38357379128,942.697532065034,4053.08110585631,772.107487128091,2608.84893297758,2950.72549098531,289.879608969241,289.879608969241,50.115,7.152,13.113
GALLEROS ARTESANOS DE RUTE SL,1082,U1,2022,2948.75260191188,42,RUTE,3761.00990158857,2446.47583184025,6207.48573342882,1560.46672932678,2687.57144140747,2948.75260191188,32.7289242104548,32.7289242104548,2.821,0.527,1.493
BAEZ Y SANZ S. L.,1086,U1,1998,2944.00795201421,28,SANT QUIRZE DEL VALLES,520.771129453898,970.999361089468,1491.77049054337,118.023059552908,191.948127710581,2944.00795201421,-18.414670955658,9.25514805078507,-13.349,0.62,-0.535
PRODUCTOS ALVAREZ SA,1013,U1,2022,2943.89584114209,13,LLANERA,1327.32339756216,826.309619942558,2153.63301750472,603.824603544199,381.924531637192,2943.89584114209,2.43413895552933,2.43413895552933,0.662,0.113,0.136
CHOCOLATES SOLE SA,1082,U1,2021,2942.23154435735,22,BARBERA DEL VALLES,373.42628355124,981.334468976784,1354.76075252802,1167.8409508373,4.7774326829195,2942.23154435735,5.06785405375957,5.06785405375957,0.465,0.374,0.185
CASLAR MESTRA SL.,1011,U1,2021,2937.85019332795,61,SALAMANCA,70.7246938774824,565.689840730619,636.414534608102,95.171441125989,6.08278851528168,2937.85019332795,208.168821861148,208.168821861148,324.208,32.71,10.503
BOPAN PROMOCIONES ALIMENTARIAS SA,1071,U1,2022,2937.05278307671,28,BARCELONA,1986.02312619993,937.294971005118,2923.31809720505,1021.49599304448,1054.3250293495,2937.05278307671,235.487354795992,235.487354795992,30.746,8.055,10.693
AGROPECUARIA DEL RIO JALON SL,1091,U1,2022,2935.6478166334,4,LA ALMUNIA DE DONA GODINA,655.380513694292,715.042163981348,1370.42267767564,311.349008746481,310.938890577251,2935.6478166334,-49.5023968213439,-49.5023968213439,-21.199,-3.612,-2.248
ENDINE SL,1039,U1,2022,2931.98609526225,30,MENDAVIA,162.958653590393,2590.88403780692,2753.84269139732,861.126776361704,596.785398899525,2931.98609526225,33.080091425969,33.080091425969,4.642,1.201,1.363
DISTRIBUCIONES DE FRESCOS Y CONGELADOS LA NEVERA SL,1013,U1,2021,2930.90358188417,18,PUENTE GENIL,5818.9772715374,3076.56202950976,8895.53930104716,2430.38600926173,3049.25038110952,2930.90358188417,167.512978572392,167.512978572392,6.892,1.883,5.715
MANZANO GAMITO HERMANOS SL,1072,U1,2022,2921.20797188906,11,ESTEPA,218.186940675877,2828.11919327154,3046.30613394742,1585.92137717114,0.0,2921.20797188906,299.028629001904,299.028629001904,25.123,9.816,13.639
FRAMOLIVA SA,1041,U1,2021,2917.60380757971,12,HUEVAR DEL ALJARAFE,6705.57969167748,2259.48638587997,8965.06607755745,5568.66611378796,1296.83509903307,2917.60380757971,-618.692205275059,-618.692205275059,-11.11,-6.901,-21.205
REPASNA SL.,1071,U1,2017,2915.192749992,16,PAMPLONA/IRUNA,783.910173482895,171.219874574928,955.130048057823,123.131079840498,395.135593232439,2915.192749992,7.04074000148058,7.04074000148058,5.718,0.737,0.242
CENTRAL LECHERA GALLEGA SA,1051,U1,2021,2914.81612711694,12,CUNTIS,1709.35755596766,1071.19280277843,2780.5503587461,617.914505273938,1216.79906018186,2914.81612711694,-468.713487754655,-468.713487754655,-75.854,-16.857,-16.08
EMBUTIDOS SIERRA DE TENTUDIA SL,1013,U1,2022,2912.08893779266,8,CALERA DE LEON,1383.37547252705,2315.98341073895,3699.35888326599,2560.03227429923,336.97572534709,2912.08893779266,279.833244393367,279.833244393367,14.586,7.564,12.823
MORERA E HIJOS SA,1071,U1,2022,2909.74447745551,66,VILANOVA I LA GELTRU,1550.09209742641,454.335085617477,2004.42718304389,1311.05451290377,229.036785076898,2909.74447745551,350.194412784922,350.194412784922,35.611,17.471,16.045
TURRONES EL ROMERO SA,1089,U1,2019,2907.72193211445,26,XIXONA/JIJONA,903.053610438221,1558.46216037173,2461.51577080995,1018.74068701721,109.560076623516,2907.72193211445,-22.7823533035254,-22.7823533035254,-2.236,-0.926,-0.784
INDUSTRIAS COQUET SA,1039,U1,2022,2905.86431650916,22,GALLUR,1655.30521471242,2440.19905384177,4095.50426855419,1884.7453450518,991.764841623127,2905.86431650916,26.9830365078628,26.9830365078628,1.789,0.659,1.16
PRODUCTOS ELABORADOS LA CASONA SOCIEDAD LIMITADA.,1085,U1,2022,2903.28408435513,19,ALGEMESI,552.733026815325,2091.43575092022,2644.16877773554,524.52526744507,1332.31445387351,2903.28408435513,25.7685743325472,25.7685743325472,6.55,0.975,1.183
PRODUCTOS LOZANO SL,1072,U1,2021,2902.7114047009,45,ELX/ELCHE,2210.33405823469,1848.38377934282,4058.71783757751,944.449040785575,1899.41973455944,2902.7114047009,-2.54380896456242,-2.54380896456242,0.673,-0.063,0.219
EUROPREMEZCLAS SL,1092,U1,2022,2899.36103544336,9,BADAJOZ,729.486459559149,697.983515731883,1427.46997529103,555.828277198261,289.076000916803,2899.36103544336,86.8314163673282,86.8314163673282,20.981,6.083,4.022
ALMAZARA SAN JOAQUIN DE AGRAMON SL,1041,U1,2022,2896.85437732202,8,HELLIN,926.793541757578,635.851802351934,1562.64534410951,731.75051962688,131.804007826018,2896.85437732202,8.11169176210761,8.11169176210761,1.478,0.519,0.373
GLASS INTERMARES SA,1020,U1,2022,2896.7518877772,12,BARCELONA,106.640622043109,976.775577702796,1083.41619974591,518.20510017941,0.0,2896.7518877772,171.633520548296,171.633520548296,44.249,15.842,7.916
GASTRONORTE ALIMENTACION SOCIEDAD LIMITADA.,1020,U1,2022,2895.6672414256,15,MUSKIZ,1593.91727315362,1123.80054685598,2717.71782000959,1985.56303784468,28.5600358492374,2895.6672414256,80.2181262303054,80.2181262303054,5.006,2.952,3.433
OLIVARERA SANTA RITA S.COOP. AND,1041,U1,1998,2893.64082158875,2,LUQUE,867.168666942358,115.079171132326,982.247838074684,466.904574045897,411.111854984522,2893.64082158875,-20.1575530793667,58.6421207306385,-4.317,5.97,-0.697
CONFITERIAS FRANCISCO HERNANDEZ SL,1071,U1,2019,2892.84437058479,36,ALMERIA,646.0912741554,418.726366529771,1064.81764068517,141.581690372664,557.935852069353,2892.84437058479,-22.1024876977253,-22.1024876977253,-19.939,-2.076,-0.976
INDUSTRIAS CARNICAS ARCE SL,1013,U1,2022,2891.81810785837,4,MURCIA,208.055450559491,1770.95172286461,1979.0071734241,236.854063382262,546.469719968384,2891.81810785837,38.6525831163543,38.6525831163543,21.387,1.953,1.752
FRUTAS Y TURRONES SA,1082,U1,2022,2889.34231712622,25,TOBARRA,588.452238419676,1668.42316182858,2256.87540024826,591.250003539342,275.263153568041,2889.34231712622,27.4794425756931,27.4794425756931,5.89,1.218,1.205
LAUTXO SOCIEDAD LIMITADA,1089,U1,2022,2888.52438464265,26,BILBAO,115.270051862812,1465.59352612781,1580.86357799062,1124.75444944231,0.0,2888.52438464265,299.126557228667,299.126557228667,30.195,18.922,11.757
M VILAMALA SL,1013,U1,2022,2885.97660911105,20,TARADELL,495.715764641523,667.423979151982,1163.13974379351,530.089791637278,153.699514098817,2885.97660911105,8.68312243794203,8.68312243794203,2.187,0.747,0.402
CARLOS PIERNAS DEL AMOR SL,1020,U1,2022,2884.52761237426,21,SANTA PERPETUA DE MOGODA,1576.91148557479,1329.74415176071,2906.6556373355,2381.51706451868,91.2618253236711,2884.52761237426,62.3950674595952,62.3950674595952,3.441,2.147,2.841
SALSAS ARTESANAS F GIL M SL,1085,U1,2022,2884.32021210377,17,ALTURA,2745.32477455411,1043.69630145304,3789.02107600715,2164.60004942687,745.122253425282,2884.32021210377,74.6771098908186,74.6771098908186,4.555,1.971,3.418
XARCAIBA SL,1013,U1,2022,2882.87332616736,18,PUIG-REIG,568.312173582637,1566.70621900715,2135.01839258979,201.082695062935,1248.70326135116,2882.87332616736,4.76256936897635,4.76256936897635,3.158,0.223,0.22
S.C. ANDALUZA SANTA BARBARA,1041,U1,2020,2881.2111657879,3,BAZA,1477.49794293056,727.438343195683,2204.93628612624,1133.21231226032,26.2949955057979,2881.2111657879,10.7016925132453,10.7016925132453,1.07,0.485,0.421
ALEMANY SA,1052,U1,2021,2878.89626333985,17,MALGRAT DE MAR,2516.60656678784,1247.04802819748,3763.65459498532,2941.86586169608,385.715687773418,2878.89626333985,-80.5013563615322,-80.5013563615322,-2.736,-2.139,-2.796
LOGISTICA OSS SA,1083,U1,2008,2878.64385723038,11,MADRID,457.921972835565,943.171436905098,1401.09340974066,26.9727053278208,554.472796708632,2878.64385723038,-224.776195289707,-224.776195289707,-833.347,-16.043,-7.808
SERPEIXE SL,1020,U1,2022,2878.44215032599,62,VILAGARCIA DE AROUSA,2468.64560350546,1631.87777292662,4100.52337643208,2967.57666430232,754.062522333849,2878.44215032599,226.182874160171,226.182874160171,9.873,5.516,10.178
INTERCASA SOCIEDAD ANONIMA,1084,U1,2022,2876.92101946581,15,SAN BARTOLOME DE TIRAJANA,3648.98970370452,1938.5657632414,5587.55546694592,1329.49835390864,2700.27214546982,2876.92101946581,-244.853772864097,-244.853772864097,-24.617,-4.382,-11.376
FRANCISCO Y GREGORIO ALCAIDE CERA SL,1013,U1,2022,2874.15467636707,15,CORTEGANA,783.228141374534,4170.86179425655,4954.08993563108,3144.19781737761,1333.15904067829,2874.15467636707,40.6504636823952,40.6504636823952,1.639,0.821,1.793
PANIFICADORA FIGUERENSE SL,1071,U1,2021,2872.09566672771,22,VILAMALLA,11181.2920924816,491.852115626049,11673.1442081077,10739.9955169998,292.235762554622,2872.09566672771,-906.419527719784,-906.419527719784,-9.793,-7.765,-36.621
S.C. ANDALUZA SAN ISIDRO,1041,U1,2019,2871.83604176598,6,FUERTE DEL REY,1833.24776554511,3392.97829059274,5226.22605613786,1404.80497887265,715.766656307992,2871.83604176598,1.46328447944522,1.46328447944522,0.161,0.028,0.079
PRODUCTOS CONGELADOS LEVANTE SOCIEDAD LIMITADA.,1020,U1,2022,2867.37959375367,6,ONTINYENT,376.085763384563,607.284598954135,983.370362338698,264.200063695979,246.765481790882,2867.37959375367,45.6993830159843,45.6993830159843,22.686,4.647,2.09
ANXOVES ELS PESCADORS DE LE SCALA S.L.,1020,U1,2020,2864.86477968429,38,L'ESCALA,487.868004314935,879.066991011643,1366.93499532658,883.491371161699,0.0,2864.86477968429,277.504174905759,277.504174905759,42.013,20.301,12.956
PANIFICADORA MENCER SL.,1071,U1,2022,2860.9414819166,51,BERGONDO,925.733139212346,1562.29142506732,2488.02456427966,710.554947936261,786.18856291616,2860.9414819166,36.253599279958,36.253599279958,7.223,1.457,1.794
CARNES CAN GUIEM SL.,1013,U1,2022,2853.90228793792,6,MANACOR,311.69387235902,673.041779988629,984.735652347648,758.113904496044,84.2089895375371,2853.90228793792,266.272093191844,266.272093191844,46.831,27.04,12.44
HIJOS DE FELIPE MARTINEZ SA,1013,U1,2016,2851.69220066617,6,JAEN,2335.70129548576,6551.82437247242,8887.52566690408,1445.65440194869,50.771053149848,2851.69220066617,-441.333376251097,-441.333376251097,-40.697,-4.966,-20.631
PRODUCTOS SOLDEVILLA S.A.,1039,U1,2007,2848.88655264153,15,CORELLA,321.283553318481,2334.32779742118,2655.61135221176,283.038413395386,1207.30639872093,2848.88655264153,53.7603158187103,54.83642041008,18.994,2.065,1.887
PESCADOS Y SALAZONES DE MAZARRON S.COOP.,1020,U1,2020,2848.14471730202,12,MAZARRON,1572.28809972745,1386.92855369696,2959.21665342441,654.214493399262,1440.74379108804,2848.14471730202,-18.9296264647961,-18.9296264647961,-3.77,-0.64,-0.866
ALLEURAS INDUSTRIES SA,1089,U1,2022,2846.30393984352,8,TORRES DE LA ALAMEDA,489.10574896493,912.675358973312,1401.78110793824,493.759631846052,238.562649102503,2846.30393984352,8.65437758173347,8.65437758173347,2.357,0.617,0.409
AGRICOLA LA ANCHOSA SOCIEDAD LIMITADA.,1039,U1,2022,2845.42881629539,19,ARCHENA,2697.95714461053,426.547235799754,3124.50438041028,797.003668407202,1848.85841067792,2845.42881629539,104.235450863081,104.235450863081,17.227,3.336,4.825
"LA UNION CHACINERA, S.L.",1013,U1,2022,2844.01078294175,21,ECIJA,676.646854260957,1979.94658092338,2656.59343518434,662.60929573201,789.746280171209,2844.01078294175,-15.3947210497975,-15.3947210497975,-3.037,-0.579,-0.708
HARINAS CLOQUELL SL,1061,U1,2022,2843.86166907395,17,MUTXAMEL,4726.67537636478,5673.6861300407,10400.3615064055,9056.29888986704,319.18804375792,2843.86166907395,1888.33620441289,1888.33620441289,27.476,18.156,87.497
SALA RIERA SA,1013,U1,2022,2843.24725769808,1,GIRONA,1.41964391887188,6311.39274631148,6312.81239023035,98.6798754405797,2944.2991330746,2843.24725769808,4.38889690425992,4.38889690425992,5.622,0.07,0.195
HAMBURGUESAS EIZAGUIRRE SL,1013,U1,2022,2842.97302430365,7,OIARTZUN,197.06351353929,2139.75346502396,2336.81697856325,2146.06641141108,0.0,2842.97302430365,268.832145283562,268.832145283562,15.066,11.504,11.373
INDUSTRIAS LUPY SA,1039,U1,2021,2841.78971759062,11,PONFERRADA,534.703923672938,2303.42161672897,2838.12554040191,2326.26094364312,12.6403064494371,2841.78971759062,124.323621655869,124.323621655869,5.344,4.38,4.375
PERNISAL SL,1013,U1,2022,2837.78852950911,36,FUENTERROBLE DE SALVATIERRA,2081.40859580113,859.495572434336,2940.90416823546,787.957304847538,1249.00473569651,2837.78852950911,106.375954979493,106.375954979493,17.91,3.617,4.973
PIENSOS DEL TORMES SL,1091,U1,2022,2836.89310857272,4,CALZADA DE VALDUNCIEL,110.002874275941,695.644367060178,805.647241336119,545.498666462284,46.6660527981877,2836.89310857272,-5.23334505110383,-5.23334505110383,-1.245,-0.65,-0.239
HELADERIA HORCHATERIA QUINTA CUMBRE SL,1052,U1,2022,2834.45679268764,43,LAS PALMAS DE GRAN CANARIA,854.009059328699,523.191815430844,1377.20087475954,389.794030653501,409.897031158322,2834.45679268764,105.26747119593,105.26747119593,35.391,7.644,4.867
CARNICAS POZAS SL,1011,U1,2021,2831.57505591567,6,BANOS DE MONTEMAYOR,598.396448346813,1566.05072636046,2164.44717583988,248.270404537439,1364.73534824181,2831.57505591567,24.2373056670499,24.2373056670499,12.824,1.12,1.124
DISPOFRIO SL,1020,U1,2022,2830.2493883523,10,BARRO,307.377301566058,2174.39091009533,2481.76821166139,548.026027279687,184.739255100322,2830.2493883523,115.660277951586,115.660277951586,28.17,4.66,5.455
ESPECIALITATS VIC CARN S. L.,1011,U1,1997,2824.72241285634,37,VIC,732.694667108774,1181.58642349076,1914.28109059954,724.964967814207,0.0,2824.72241285634,133.596297601461,164.421746423006,72.165,8.589,18.521
